skill
python
java
c++
c
sql
mysql
postgresql
mongodb
tensorflow
pytorch
keras
machine learning
deep learning
nlp
computer vision
docker
kubernetes
aws
azure
gcp
git
github
pandas
numpy
scikit-learn
matplotlib
streamlit
flask
fastapi
genai
llm
